MAP,MAT,ET,NPP,NDVI,IND,SOC,TN,TP,SM,pH,EC,ANF
206.9242421,0.631714422,2014.693,658.6666667,0.2568,2.0802276,8.844926611,1.008829355,0.662230754,3.777777778,6.52,26.8,4.105348902
206.9242421,0.631714422,2014.693,658.6666667,0.2568,2.0802276,6.57807309,1.094493777,0.722625738,5.663430421,6.25,27.9,5.961952566
206.9242421,0.631714422,2014.693,658.6666667,0.2568,2.0802276,7.619047619,0.922895238,0.556488825,6.93877551,6.44,28.6,3.548324911
206.9242421,0.631714422,2014.693,658.6666667,0.2568,2.0802276,6.869888476,0.796617954,0.641733769,4.397705545,6.17,28.8,3.19253612
206.9242421,0.631714422,2014.693,658.6666667,0.2568,2.0802276,9.224904701,1.03546582,0.710832274,5.975395431,6.5,31.4,4.522340448
181.858489,0.783108195,1931.168,447,0.1976,2.497102,16.54353562,2.209897612,0.495320717,4.512635379,8.11,103.1,15.69958913
181.858489,0.783108195,1931.168,447,0.1976,2.497102,13.4228703,1.329743208,0.509920021,6.644518272,8.01,141.1,11.96347696
181.858489,0.783108195,1931.168,447,0.1976,2.497102,16.22418879,2.056970851,0.409657127,4.862023653,8.14,93.7,15.28544483
181.858489,0.783108195,1931.168,447,0.1976,2.497102,15.07407407,1.445492593,0.51823885,6.326530612,8.13,102.1,13.67896687
181.858489,0.783108195,1931.168,447,0.1976,2.497102,15.24752475,1.457651485,0.508648059,4.521276596,7.89,113.1,11.14551278
449.8222575,1.022670165,1824.079,476.6666667,0.2576,2.4646204,9.784366577,1.074684097,0.461922182,3.076923077,7.31,38.9,3.81338105
449.8222575,1.022670165,1824.079,476.6666667,0.2576,2.4646204,12.85983658,1.290274544,0.521171662,3.017241379,6.26,55,3.510175911
449.8222575,1.022670165,1824.079,476.6666667,0.2576,2.4646204,10.85388994,1.558707375,0.541799116,4.480651731,6.18,85.2,1.187219548
449.8222575,1.022670165,1824.079,476.6666667,0.2576,2.4646204,18.90480202,2.132651092,0.60060628,2.747252747,6.44,39.2,6.122829176
449.8222575,1.022670165,1824.079,476.6666667,0.2576,2.4646204,18.90480202,2.132651092,0.60060628,2.747252747,6.44,39.2,2.088702459
301.8883352,1.232351845,1898.005,960,0.276,2.643595,14.69084913,1.133356938,0.460565156,4.166666667,6.47,31.3,5.811505007
301.8883352,1.232351845,1898.005,960,0.276,2.643595,14.34782609,1.391448777,0.441723808,3.214285714,6.16,30.8,4.754709593
301.8883352,1.232351845,1898.005,960,0.276,2.643595,13.13432836,1.24998332,0.463283737,3.626943005,6.33,33,5.668407179
301.8883352,1.232351845,1898.005,960,0.276,2.643595,14.04255319,1.130787953,0.46353699,3.465346535,6.21,34.7,5.484717069
301.8883352,1.232351845,1898.005,960,0.276,2.643595,15.87908698,2.066454278,0.487896241,3.619909502,6.24,29.1,6.651124513
274.7661072,0.822563818,1847.633,594.6666667,0.2032,2.6912386,4.673819742,0.574376034,0.190906369,5.117270789,7.53,24.9,2.128851646
274.7661072,0.822563818,1847.633,594.6666667,0.2032,2.6912386,4.80941704,0.751734609,0.234556299,5.633802817,7.87,33.9,3.162201292
274.7661072,0.822563818,1847.633,594.6666667,0.2032,2.6912386,4.182970515,0.530216391,0.177015587,6.14973262,7.99,29.7,1.556563173
274.7661072,0.822563818,1847.633,594.6666667,0.2032,2.6912386,3.991291727,0.66858955,0.24844936,2.879078695,7.66,39,1.230216041
274.7661072,0.822563818,1847.633,594.6666667,0.2032,2.6912386,8.603351955,0.991894972,0.262129531,4.605263158,7.77,55.2,1.676037199
400.3402913,2.699772692,1872.061,1059,0.4872,2.7449474,35.61151079,2.791951448,0.546712096,33.33333333,5.34,20.2,8.345851978
400.3402913,2.699772692,1872.061,1059,0.4872,2.7449474,52.25473322,2.616705493,0.626868117,32.70588235,5.73,26.3,13.80544311
400.3402913,2.699772692,1872.061,1059,0.4872,2.7449474,45.32663317,3.270334286,0.620820075,33.82045929,5.94,43.7,10.78208276
400.3402913,2.699772692,1872.061,1059,0.4872,2.7449474,40.17391304,3.230739225,0.728003536,20.83333333,5.27,34.7,6.863836555
400.3402913,2.699772692,1872.061,1059,0.4872,2.7449474,35.61151079,2.791951448,0.546712096,33.33333333,5.34,20.2,7.007488058
398.4774089,2.821441793,1738.383,965.6666667,0.4136,3.1006808,22.75862069,2.187547234,0.766639266,19.46902655,6.62,95.4,3.629181796
398.4774089,2.821441793,1738.383,965.6666667,0.4136,3.1006808,26.78088368,2.252912191,0.737133043,15.13353116,6.27,20.9,4.177357171
398.4774089,2.821441793,1738.383,965.6666667,0.4136,3.1006808,24.0754717,2.14377786,0.537392526,16.47887324,6.67,473,6.643150278
